time	theta_jn	ra	psi	phi_orb	mtotal_ref	mtotal	logw	logprior	logl	hrss	deltalogll1	deltaloglh1	deltalogl	dec	
1.11117845301806e+09	8.10010744597229e-01	5.78247784308031e+00	2.15543499937752e+00	2.09563416753516e+00	1.00000000000000e+02	2.54977837734159e+02	-3.53663472968384e+01	1.85750603819393e+02	-1.83627814972982e+03	6.38143874918524e-21	3.96645203992082e+01	7.99045640064135e+01	1.19662445529477e+02	6.81717794931956e-01	
1.11117845301586e+09	1.22187044164360e-01	4.34927990976769e+00	2.61042890952297e+00	3.24855605426436e+00	1.00000000000000e+02	2.23872578794281e+02	-3.39184695589060e+01	1.86271705456468e+02	-1.83607077117857e+03	4.85073684026920e-21	3.48984423362730e+01	8.34224019120010e+01	1.19869824080729e+02	1.11906869287723e+00	
1.11117845302630e+09	9.04409896421139e-01	5.64433642620383e+00	2.49868562976485e+00	1.31372251156008e+00	1.00000000000000e+02	2.07884552861466e+02	-3.56230253664692e+01	1.85352961865393e+02	-1.83599076201039e+03	7.02504336621013e-21	3.79821656198963e+01	8.45908003951821e+01	1.19949833248907e+02	6.97828069481240e-01	
1.11117845302295e+09	5.23749582810069e-02	5.69882209252265e+00	1.39997503273159e+00	4.04716739938572e+00	1.00000000000000e+02	2.29095608383197e+02	-3.53343425307262e+01	1.87775835835064e+02	-1.83594922819070e+03	3.64682599248028e-21	3.72995637213068e+01	8.55905144172042e+01	1.19991367068596e+02	8.92354598660336e-01	
1.11117845301753e+09	1.01998352737319e-02	5.63548700239065e+00	2.59095047000123e-01	5.47197654044096e+00	1.00000000000000e+02	2.18687453916856e+02	-3.41938931871750e+01	1.87454596761000e+02	-1.83584039059833e+03	4.43095824147545e-21	3.57436954193604e+01	8.25542592566597e+01	1.20100204660965e+02	1.27010228421724e-01	
1.11117845300046e+09	3.31164106877111e-01	4.41262668015513e+00	2.77357505176416e+00	4.62595162111951e+00	1.00000000000000e+02	2.56320827558206e+02	-3.59407785949651e+01	1.85307233130887e+02	-1.83583912555580e+03	7.05653090011286e-21	4.11424880302214e+01	7.89586026139361e+01	1.20101469703501e+02	7.29959170473254e-01	
1.11117845301029e+09	6.86584949610343e-01	4.21971945355352e+00	1.34851478956559e+00	5.88218088128278e+00	1.00000000000000e+02	2.46145711944024e+02	-3.56978958613556e+01	1.84445937557889e+02	-1.83583462361257e+03	7.78117880830997e-21	3.60886040449279e+01	8.44512948023697e+01	1.20105971646724e+02	1.08645782003765e+00	
1.11117845300494e+09	2.64006185856390e-01	4.46246167119577e+00	1.16704448695254e+00	5.51708257595993e+00	1.00000000000000e+02	2.45494950536836e+02	-3.50453620382194e+01	1.86293993313503e+02	-1.83581944257647e+03	5.53438710494329e-21	4.28822739920884e+01	7.59836249028781e+01	1.20121152682831e+02	7.13057999837122e-01	
1.11117845301184e+09	1.56163801805936e-01	4.32324829815829e+00	3.06572364273341e+00	1.27115696035226e+00	1.00000000000000e+02	2.31474085456966e+02	-3.51150552352609e+01	1.85874224562083e+02	-1.83560199062738e+03	5.30573185778757e-21	3.74741739684981e+01	8.08417305820789e+01	1.20338604631915e+02	1.13747677741924e+00	
1.11117845301887e+09	3.85302066802501e-01	5.39214057531508e+00	2.82679166940725e+00	6.09586675241128e+00	1.00000000000000e+02	2.42293306755026e+02	-3.53190894297644e+01	1.86107541091509e+02	-1.83559830018172e+03	5.03825188254604e-21	3.68397870051276e+01	8.10852022069408e+01	1.20342295077579e+02	1.12506322145009e+00	
